"LOCATIE gegevens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","X-coordinaat","Y-coordinaat","CRS","Kaartblad","Bepaling locatie","Maaiveldhoogte (m tov NAP)","Bepaling maaiveldhoogte",,,,,,,,,,,,,,,,,,,,,,,,,,,
"B45H0116","176350","400360","Rijksdriehoeksmeting","45H","Onbekend","17.6","Onbekend",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KWALITEIT gegevens VAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","Monster datum","Monster-nr","Deelmonster-nr","Meting nr","Bovenkant monster (m tov MV)","Onderkant monster (m tov MV)","Al (% Ox.)","As (mg/kg)","Ba (mg/kg)","Ca (% Ox.)","Cr (mg/kg)","Ctot (%)","Cu (mg/kg)","Fe (% Ox.)","Ga (mg/kg)","K (% Ox.)","Mg (% Ox.)","Mn (% Ox.)","Na (% Ox.)","Nb (mg/kg)","Ni (mg/kg)","P (% Ox.)","Pb (mg/kg)","Rb (mg/kg)","S (mg/kg)","Si (% Ox.)","Sr (mg/kg)","Th (mg/kg)","Ti (% Ox.)","U (mg/kg)","V (mg/kg)","Y (mg/kg)","Zn (mg/kg)","Zr (mg/kg)"
"B45H0116",,"L1998-06-9025","1","1","23.0","24.0","1.621440052986145","4.198999881744385","100.80000305175781","< 0","15","","3.450000047683716",".47889000177383423","< 0",".5064100027084351",".0031500000040978193","< 0",".12565000355243683","3.7320001125335693","7.539999961853027",".010769999586045742","5.577000141143799","16.104999542236328","193.8000030517578","94.21761322021484","13.29699993133545","6.27400016784668",".07667999714612961","< 0","5.800000190734863","12.621000289916992","10.128000259399414","167.73599243164062"
"B45H0116",,"L1998-06-9025","2","1","23.0","24.0","","","","","","3.3836","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9026","1","1","24.0","25.5",".8774300217628479",".3919999897480011","88.30000305175781","< 0","7.400000095367432","","2.311000108718872",".10516999661922455","< 0",".3900200128555298",".001990000018849969","< 0",".09807000309228897","2.007999897003174","5.74399995803833",".006769999861717224","5.013999938964844","11.46399974822998","< 0","95.8154067993164","10.996999740600586","5.796999931335449",".015230000019073486","< 0",".10000000149011612","9.282999992370605","5.966000080108643","55.06800079345703"
"B45H0116",,"L1998-06-9026","2","1","24.0","25.5","","","","","","2.8689","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9027","1","1","25.5","26.0","12.67809009552002","8.303000450134277","316.3999938964844",".19842000305652618","78.69999694824219","","14.425999641418457","3.0868000984191895","13.128999710083008","2.20209002494812",".01607999950647354",".7278599739074707",".7164099812507629","13.32699966430664","35.86899948120117",".03779999911785126","20.341999053955078","97.38600158691406","739.2000122070312","72.11992645263672","64.10700225830078","15.890999794006348",".5150799751281738",".8180000185966492","67.4000015258789","34.327999114990234","61.553001403808594","269.4620056152344"
"B45H0116",,"L1998-06-9027","2","1","25.5","26.0","","","","","","1.7243","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9028","1","1","26.0","27.0","17.61237907409668","7.813000202178955","394.70001220703125",".35390999913215637","115.5999984741211","","28.18600082397461","4.387899875640869","23.242000579833984","3.04328989982605",".02370999939739704","1.341480016708374",".3299500048160553","18.801000595092773","93.96700286865234",".06988999992609024","29.277999877929688","173.38900756835938","248.1999969482422","62.79521942138672","88.48300170898438","17.981000900268555",".8110399842262268","6.004000186920166","125.5","41.44900131225586","139.3040008544922","188.718994140625"
"B45H0116",,"L1998-06-9028","2","1","26.0","27.0","","","","","","4.0099","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9029","1","1","27.0","28.0","10.36732006072998","11.484000205993652","273.1000061035156",".2828899919986725","66.5","","15.770000457763672","3.3498001098632812","10.017999649047852","2.1777501106262207",".027140000835061073",".9859499931335449",".6241099834442139","10.64799976348877","48.527000427246094",".11146999895572662","17.85700035095215","95.6989974975586","574","75.58621978759766","60.861000061035156","12.619000434875488",".4005900025367737",".43700000643730164","60.20000076293945","30.7189998626709","59.91699981689453","207.77699279785156"
"B45H0116",,"L1998-06-9029","2","1","27.0","28.0","","","","","","2.9917","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9030","1","1","28.0","29.0","3.175839900970459","5.366000175476074","192.6999969482422","< 0","12.100000381469727","","4.322000026702881",".5781499743461609",".8740000128746033","1.2660499811172485",".006180000025779009","< 0",".39515000581741333","3.0220000743865967","12.946000099182129",".027960000559687614","8.541999816894531","40.33300018310547","134.3000030517578","91.84781646728516","30.308000564575195","5.954999923706055",".05341000109910965","< 0","5.400000095367432","14.003999710083008","11.366000175476074","59.50699996948242"
"B45H0116",,"L1998-06-9030","2","1","28.0","29.0","","","","","","2.54","","","","","","","","","","","","","","","","","","","","","",""
"B45H0116",,"L1998-06-9031","1","1","29.0","30.0","4.28734016418457","7.795000076293945","198.1999969482422","< 0","19.799999237060547","","5.2270002365112305",".8841099739074707","1.3450000286102295","1.518090009689331",".008630000054836273",".10131999850273132",".5464199781417847","3.7130000591278076","23.288000106811523",".04165000095963478","11.579999923706055","49.87099838256836","331.70001220703125","89.61560821533203","36.92900085449219","8.717000007629395",".1064400002360344","< 0","8.199999809265137","16.079999923706055","17.469999313354492","108.08799743652344"
"B45H0116",,"L1998-06-9031","2","1","29.0","30.0","","","","","","1.7808","","","","","","","","","","","","","","","","","","","","","",""
