"LOCATIE gegevens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","X-coordinaat","Y-coordinaat","CRS","Kaartblad","Bepaling locatie","Maaiveldhoogte (m tov NAP)","Bepaling maaiveldhoogte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B51F0474","176510","397918","Rijksdriehoeksmeting","51F","GPS (Global Positioning System)","17.0","gemeten, overige methoden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KWALITEIT gegevens VAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","Monster datum","Monster-nr","Deelmonster-nr","Meting nr","Bovenkant monster (m tov MV)","Onderkant monster (m tov MV)","Al2O3 (%)","As (mg/kg)","Ba (mg/kg)","CaO (%)","Cr (mg/kg)","Cu (mg/kg)","Fe2O3 (%)","Ga (mg/kg)","K2O (%)","La (mg/kg)","MgO (%)","MnO (%)","Na2O (%)","Nb (mg/kg)","Nd (mg/kg)","Ni (mg/kg)","P2O5 (%)","Pb (mg/kg)","Rb (mg/kg)","S (%)","Sc (mg/kg)","SiO2 (%)","Sn (mg/kg)","Sr (mg/kg)","TGA(105-1000) (%)","TGA(105-450) (%)","TGA(20-105) (%)","TGA(450-550) (%)","TGA(550-800) (%)","TGA(800-1000) (%)","Th (mg/kg)","TiO2 (%)","U (mg/kg)","V (mg/kg)","Y (mg/kg)","Zn (mg/kg)","Zr (mg/kg)"
"B51F0474","01-08-2004","L2004-08-1635","1","1","16.3","16.33","1.45227","1.07246","133.4","0.01475","10.8","1.52161","0.06475","2.4039","0.52864","7.41858","0.00521","0.00031","0.125513555555556","2.73026","7","1.37502","0.0041","4.79309","18.76007","< 0","1.9","90.38075","2.41547","16.3993","","","","","","","2.25338","0.06551","0.35088","8.6","4.67028","2.24432","67.35769"
"B51F0474","01-08-2004","L2004-08-1635","2","1","16.3","16.33","","","","","","","","","","","","","","","","","","","","","","","","","0.33885","0.1412","0.02567","0.1001","0.06418","0.03337","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1636","1","1","17.3","17.33","1.73114","1.23384","153.4","0.02185","11.9","1.85146","0.08749","2.64163","0.63403","8.10867","0.0095","0.00009","0.139593555555556","2.5123","6.7","1.81602","0.0047","6.28489","22.21956","< 0","1.8","89.59701","< 0","17.90263","","","","","","","2.23467","0.06808","0.5043","9.9","4.82175","3.48133","49.04194"
"B51F0474","01-08-2004","L2004-08-1636","2","1","17.3","17.33","","","","","","","","","","","","","","","","","","","","","","","","","0.3526","0.1116","0.114","0.1319","0.08373","0.02537","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1637","1","1","18.3","18.33","13.14878","6.84685","278.1","0.68512","96.6","8.05784","2.76206","12.87174","1.32013","23.95761","0.56544","0.00722","0.291343555555556","15.82552","24.9","23.05701","0.02208","16.70893","75.35207","0.0648995075757576","11.1","72.31569","2.50495","59.31028","","","","","","","12.98156","0.73491","3.25916","88.4","23.61023","34.74811","458.22925"
"B51F0474","01-08-2004","L2004-08-1637","2","1","18.3","18.33","","","","","","","","","","","","","","","","","","","","","","","","","3.7361","1.877","1.795","1.25","0.4998","0.1093","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1638","1","1","19.37","19.4","17.49012","6.13289","370.8","0.82669","112.3","31.61016","5.83937","20.20991","2.50971","50.15579","1.38127","0.05377","0.356013555555556","19.70356","43.2","65.51804","0.03868","26.49998","130.50385","0.0105395075757575","15.9","66.18317","4.59146","90.6776","","","","","","","13.53824","0.90323","3.11344","125.1","50.0092","90.63918","202.07951"
"B51F0474","01-08-2004","L2004-08-1638","2","1","19.37","19.4","","","","","","","","","","","","","","","","","","","","","","","","","5.4353","2.536","1.942","1.863","0.905","0.1313","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1639","1","1","20.4","20.43","19.07257","4.89051","379.6","0.88401","120","29.45421","5.9004","24.26576","2.975","41.49555","1.83987","0.01815","0.264303555555556","20.69828","40.1","77.42786","0.0537","19.49929","164.20248","0.00311950757575757","17.7","63.7713","9.9228","107.31656","","","","","","","16.19883","0.94914","4.4786","139.4","33.93663","107.91323","160.83852"
"B51F0474","01-08-2004","L2004-08-1639","2","1","20.4","20.43","","","","","","","","","","","","","","","","","","","","","","","","","5.9269","2.522","2.193","2.295","0.9307","0.1792","","","","","","",""
