"LOCATIE gegevens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","X-coordinaat","Y-coordinaat","CRS","Kaartblad","Bepaling locatie","Maaiveldhoogte (m tov NAP)","Bepaling maaiveldhoogte",,,,,,,,,,,,,,,,,,,,,,,,,,,
"B46C0131","180830","400200","Rijksdriehoeksmeting","46C","Onbekend","22.3","Onbekend",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KWALITEIT gegevens VAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","Monster datum","Monster-nr","Deelmonster-nr","Meting nr","Bovenkant monster (m tov MV)","Onderkant monster (m tov MV)","Al (% Ox.)","As (mg/kg)","Ba (mg/kg)","Ca (% Ox.)","Cr (mg/kg)","Ctot (%)","Cu (mg/kg)","Fe (% Ox.)","Ga (mg/kg)","K (% Ox.)","Mg (% Ox.)","Mn (% Ox.)","Na (% Ox.)","Nb (mg/kg)","Ni (mg/kg)","P (% Ox.)","Pb (mg/kg)","Rb (mg/kg)","S (mg/kg)","Si (% Ox.)","Sr (mg/kg)","Th (mg/kg)","Ti (% Ox.)","U (mg/kg)","V (mg/kg)","Y (mg/kg)","Zn (mg/kg)","Zr (mg/kg)"
"B46C0131",,"L1998-06-9177","1","1","32.0","32.8","1.035140037536621","146.39999389648438","49.900001525878906","1.4214600324630737","25.700000762939453","","1.218999981880188","9.026789665222168",".421999990940094",".10638999938964844",".10904999822378159","< 0",".03382999822497368","6.670000076293945","2.0220000743865967",".0391400009393692","2.6700000762939453",".30399999022483826","19068","34.80535125732422","23.395999908447266","5.245999813079834",".18478000164031982",".5550000071525574","< 0","59.417999267578125","6.504000186920166","91.40599822998047"
"B46C0131",,"L1998-06-9177","2","1","32.0","32.8","","","","","","9.7183599472","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9178","1","1","32.8","33.3","1.5848699808120728","8.84000015258789","164.10000610351562","< 0","4.5","","1.628999948501587",".32912999391555786","< 0",".7940700054168701",".002950000111013651","< 0",".1563899964094162","2.006999969482422","6.715000152587891",".013299999758601189","6.690999984741211","24.014999389648438","474.79998779296875","95.02327728271484","22.402999877929688","7.002999782562256",".009999999776482582","< 0",".4000000059604645","9.798999786376953","5.440000057220459","35.073001861572266"
"B46C0131",,"L1998-06-9178","2","1","32.8","33.3","","","","","","20.078569412","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9179","1","1","33.3","33.4","10.541970252990723","15.968999862670898","256",".0652799978852272","81.5","","15.402000427246094","3.0040199756622314","9.779999732971191","1.8662300109863281",".016759999096393585",".8093799948692322",".25745001435279846","10.883999824523926","25.89900016784668",".06840000301599503","16.187999725341797","87.70099639892578","1509.5","75.47441864013672","53.82099914550781","10.430999755859375",".41374000906944275","1.9869999885559082","83.30000305175781","26.138999938964844","57.00600051879883","143.14599609375"
"B46C0131",,"L1998-06-9179","2","1","33.3","33.4","","","","","","27.270839691","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9180","1","1","33.4","34.0","1.8610700368881226","31.29199981689453","164.6999969482422","< 0","5.199999809265137","","4.1529998779296875",".7162500023841858","< 0",".8918700218200684",".004019999876618385","< 0",".17580999433994293","2.4839999675750732","6.790999889373779",".014069999568164349","7.316999912261963","28.774999618530273","1581.9000244140625","93.40141296386719","24.496000289916992","5.769000053405762",".01631000079214573","< 0","1.899999976158142","10.833000183105469","6.822999954223633","37.12200164794922"
"B46C0131",,"L1998-06-9180","2","1","33.4","34.0","","","","","","35.103359222","","","","","","","","","","","","","","","","","","","","","",""
"B46C0131",,"L1998-06-9181","1","1","34.0","35.0","2.303459882736206","9.659000396728516","82.0999984741211","< 0","11.800000190734863","","3.61899995803833",".45897001028060913","< 0",".43755999207496643",".002899999963119626","< 0",".07802999764680862","3.061000108718872","6.709000110626221",".010420000180602074","6.039000034332275","14.970999717712402","292.79998779296875","94.25166320800781","12.180000305175781","5.105999946594238",".05663999915122986","< 0","5.900000095367432","10.418999671936035","8.878000259399414","59.72800064086914"
"B46C0131",,"L1998-06-9181","2","1","34.0","35.0","","","","","","28.779909134","","","","","","","","","","","","","","","","","","","","","",""
