Well_ID,BRO-ID,Filter,Date,Nitrate,Chloride,Oxygen,Temperature,Acidity,geometry
GMW000000011613,GAR000000004884,1,2010-11-15T11:00:00+01:00,0.05,324.21,0.25,19.2,7.25,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004885,1,2012-07-26T12:00:00+02:00,0.01,272.67,0.11,22.2,7.34,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004886,1,2015-10-29T11:00:00+01:00,,,,,,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004887,1,2018-11-12T11:00:00+01:00,0.05,150.0,0.16,16.0,6.8,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004888,2,1996-10-29T11:00:00+01:00,0.11,215.0,,11.0,6.85,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004889,2,2000-01-01T11:00:00+01:00,,,,,,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004890,2,2003-01-28T11:00:00+01:00,0.11,320.0,,,,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004891,2,2006-06-06T12:00:00+02:00,0.06,400.0,,16.5,7.82,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004892,2,2010-11-15T11:00:00+01:00,0.05,202.16,0.2,19.1,6.86,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004893,2,2012-07-26T12:00:00+02:00,0.01,294.17,0.26,22.3,6.97,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004894,2,2015-10-29T11:00:00+01:00,0.05,300.0,,19.9,6.7,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004895,2,2018-11-12T11:00:00+01:00,0.05,350.0,0.18,15.9,6.8,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004896,3,1996-10-29T11:00:00+01:00,0.11,680.0,,11.0,6.95,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004897,3,2003-01-28T11:00:00+01:00,0.11,670.0,,,,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004898,3,2006-06-06T12:00:00+02:00,0.01,720.0,,13.6,7.32,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004899,3,2015-10-29T11:00:00+01:00,0.05,720.0,,19.8,6.7,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000004900,3,2018-11-12T11:00:00+01:00,0.05,620.0,0.12,15.9,6.9,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000051423,1,2021-12-20T11:00:00+01:00,0.05,259.09,,20.2,7.16,POINT (5.860227577 52.733919941)
GMW000000011613,GAR000000051425,2,2021-12-20T11:00:00+01:00,0.08,194.53,,20.0,6.92,POINT (5.860227577 52.733919941)
GMW000000011615,GAR000000004734,1,1975-12-18T11:00:00+01:00,,,,,,POINT (5.616958309 52.786312497)
GMW000000011615,GAR000000004735,1,1985-09-10T12:00:00+02:00,,,,,,POINT (5.616958309 52.786312497)
GMW000000011615,GAR000000004736,2,1975-12-18T11:00:00+01:00,,,,,,POINT (5.616958309 52.786312497)
GMW000000011615,GAR000000004737,2,1985-09-10T12:00:00+02:00,,,,,,POINT (5.616958309 52.786312497)
GMW000000011617,GAR000000004708,1,1998-10-28T11:00:00+01:00,0.11,165.0,,13.0,,POINT (5.595275775 52.746361022)
GMW000000011617,GAR000000004709,1,2003-01-22T11:00:00+01:00,0.11,155.0,,,,POINT (5.595275775 52.746361022)
