name,extrude,altitudeMode,WKT
"GAR000000033340.csv","true","relativeToGround","POINT (5.65002874 50.850860315)"
"GAR000000033324.csv","true","relativeToGround","POINT (5.65002874 50.850860315)"
"GAR000000036199.csv","true","relativeToGround","POINT (5.65002874 50.850860315)"
"GAR000000033312.csv","true","relativeToGround","POINT (5.65002874 50.850860315)"
"GAR000000033335.csv","true","relativeToGround","POINT (5.65002874 50.850860315)"
"GAR000000033326.csv","true","relativeToGround","POINT (5.65002874 50.850860315)"
"GAR000000033358.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000033353.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000033349.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000043887.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000033328.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000033350.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000033341.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000033364.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000033355.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000033348.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000033357.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000033352.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000043422.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000033336.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000033354.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000033359.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000033329.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000033347.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000033365.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000033351.csv","true","relativeToGround","POINT (5.745277848 50.846963994)"
"GAR000000038134.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038120.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038125.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038098.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038093.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038102.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038107.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038100.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038128.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038078.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038123.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038119.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038082.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038114.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038096.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038130.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038064.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000041548.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038076.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038085.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000043829.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038094.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038103.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038108.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038058.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
"GAR000000038124.csv","true","relativeToGround","POINT (5.777267549 50.894453911)"
